id,name,description,connection_info,next_id,max_attempts,value,category,type,state,requirements
2,Help Maxine,"Tolong bantu mbak Maxine untuk mendapatkan lagu favoritnya kembali ya!!

*friendly reminder: semua file yang ada di folder **so_strange** akan dihantui oleh mas Vecna.

Author: BlackBear!!#7019",,,0,364,Reverse Engineering,dynamic,visible,
3,Kisinik Kripti Algoritem,"Kisinik adalah murid yang mencintai kriptografi. Ia mencoba untuk membuat sebuah algoritma dengan memodifikasi ***tabula recta*** untuk menyimpan rahasia miliknya. Tolong bantu Bilekber untuk mendapatkan rahasia milik Kisinik!

chall: **nc x.x.x.x 9989**

alternative : **nc x.x.x.x 9989** 

Author: BlackBear!!#7019",x.x.x.x 9989,,0,223,Cryptography,dynamic,visible,
4,Kata Pengantar,"Kalian bersemangat untuk ikut CTF?

Aku Harap Kalian memiliki semangat yang membara-bara!

Author: San#7802",,,20,100,Cryptography,dynamic,visible,
5,Hiding In The Queue,"Kamu pikir kamu cukup ""tak terlihat""?

Cobalah menyusup ke antrian ini!

**nc  x.x.x.x:4375**

Author: San#7802",x.x.x.x:4375,,20,364,Binary Exploitation,dynamic,visible,
6,Count the Flag,"Mikael sedang mencari flag miliknya, tetapi ia kesulitan dalam menemukannya sehingga ia terjebak di suatu tempat (kesesat mulu sih). Bisakah kalian dapatkan flag miliknya? Untuk isi flagnya misal flagnya berisi helloworld maka yang ditulis dalam jawaban yaitu CTF{helloworld}.	


Author: Lawson #3021",,,20,400,Reverse Engineering,dynamic,visible,
7,MaskManGem,"Suatu hari Masman dan istrinya sedang berjalan-jalan di taman. Saat di tengah perjalanan, istri Masman ingin pergi ke toilet dan istrinya meminta Masman untuk menunggunya. Tetapi, Masman melihat banyak orang yang tidak memakai masker. Jadi ia berinisiatif membagikan masker ke orang-orang disekitarnya. Akankah Masman dapat bertemu dengan istrinya dengan selamat? Tali Takdir dari hidup Masman ada di tanganmu. Jangan lupa, MaskManGem dibuat dengan cinta oleh babang **piton** jam **3.8.9**. 

**P.S. Cannot play MaskMan? It's not a problem. Just break into it!**

Chall: ...
Author:Eri#6413",,,0,500,Reverse Engineering,dynamic,visible,
8,Riil Kh?,"Terdapat perlombaan CTF yang dimana beberapa perusahaan akan menjadi pesertanya. Akan tetapi terdapat desas desus yang berkata bahwa perusahaan A dan perusahaan B melakukan kecurangan. Untungnya panitia lomba telah menaruh monitoring tools seperti wireshark agar mencegah terjadinya kecurangan seperti itu dan kamu sebagai forensicator diminta untuk menganalisa. Nampaknya pc A telah mengirim suatu email kepada seseorang, apakah kamu bisa melihat isi email tersebut?

Note: flag terpisah menjadi 2 bagian

Format flag: CTF{.*}

Chall: ..

Author: mxl#4046",,,0,364,Forensic,dynamic,visible,
9,Forest Fire,"Kebakaran hutan terjadi di mana-mana. Orang utan jadi kehilangan tempat tinggal. Kita tidak bisa membiarkan orang utan punah. Aku dan temanku mencoba membuat website donasi untuk menggalang dana demi membangun tempat tinggal baru bagi orang utan. 

**x.x.x.x:17793**

Mirror1: x.x.x.x:17793<br>
Mirror2: x.x.x.x:17793<br>
Mirror3: x.x.x.x:17793<br>

**Note: Bila soal down atau mengalami kendala, silahkan coba kerjakan di mirrornya yaa**

Author: Sha#1668",,,0,498,Web Exploitation,dynamic,visible,
11,Memory Gone,"Lulus sedang melakukan penelitian baru mengenai eksfiltrasi data ketika seseorang tengah mengetikkan sesuatu di dalam aplikasi note-taking. Penelitian tersebut dinamakan ""*Silent Logger*"". 

Tujuan dari penelitian ini adalah untuk memudahkan ahli forensik dalam mengekstrak artifak sensitif seperti nomor HP, nomor kartu kredit yang kemungkinan diketik oleh user setiap waktunya di dunia maya ataupun di tempat yang mereka kira aman.

Penelitian ini membutuhkan mereka untuk melakukan dumping memory dari OS yang berjalan dan Anda diminta untuk mencari *password* yang diketik dari mereka.Untuk memudahkan pencarian, mereka mengetikkan sebuah *password* yang **terpotong** menjadi 5 bagian dalam **SATU** aplikasi built-in di OS, dan mereka **SENGAJA TIDAK MENYIMPAN** filenya agar kamu tidak bisa seenaknya melakukan file dumping. Password tersebut dipisahkan oleh **4 newline (\n)**.
Formatnya seperti berikut:
```
kis
nau
_st
kos
sl0
```

Namun untuk membuat challenge ini lebih menantang, password akan berupa format **alfanumerik dengan simbol random** yang tentunya terbaca. Dapatkah kamu menemukan 5 potongan password tersebut? Jika sudah, gabungkan kelima password tersebut. Sebagai contoh jika mengikuti format di atas, maka passwordnya adalah **kisnaufalnop_stnaivekosongbl0ngsl0ck**.

Lalu hitung nilai MD5nya!
Contoh:
`echo -n ""kisnaufalnop_stnaivekosongbl0ngsl0ck"" | md5sum`

Format Flag: `CTF{nilai_hash_MD5_nya}`

Link Download Soal: ..
Password: ..


Author: ase#2055",,,0,500,Forensic,dynamic,visible,
12,Kepapasan,"Jamet dan Mamang merupakan 2 ilmuwan yang hendak membuat sebuah metode enkripsi yang aman dan nyaman. Mereka memutuskan untuk membuat sebuah mekanisme dimana pesan akan dienkripsi 2 kali dengan kunci yang berbeda. Mereka janji akan memberikan flagnya apabila ada jenius yang dapat memecahkan mekanisme tersebut. Apakah kamu salah satunya?

nc x.x.x.x 9977

Author: kis#5303
",nc x.x.x.x 9977,,0,431,Cryptography,dynamic,visible,
